distortion,level,map_finetuned,map_50_finetuned,map_75_finetuned,mar_100_finetuned,mean_iou_finetuned,map_finetuned_clean_control,map_50_finetuned_clean_control,map_75_finetuned_clean_control,mar_100_finetuned_clean_control,mean_iou_finetuned_clean_control,detection_snr_db,segmentation_snr_db
salt_pepper,0,0.3907666504383087,0.5594819188117981,0.4518465995788574,0.4419030547142029,0.49710384011268616,0.2841702401638031,0.46778813004493713,0.33182597160339355,0.31791603565216064,0.45251986384391785,18.101000078029188,18.063212057511496
salt_pepper,1,0.3951321840286255,0.5851373672485352,0.45631346106529236,0.4445705711841583,0.49393630027770996,0.16264654695987701,0.28480032086372375,0.17108123004436493,0.19458459317684174,0.3987959623336792,13.383441944398474,13.345481460780366
salt_pepper,2,0.35800138115882874,0.5304321646690369,0.41470152139663696,0.40932798385620117,0.4788503646850586,0.08586818724870682,0.14982353150844574,0.08677094429731369,0.09408549219369888,0.3315814435482025,11.177519369532265,11.14339701723685
salt_pepper,3,0.3811669647693634,0.5582608580589294,0.4171813726425171,0.4249263405799866,0.4469567835330963,0.039447080343961716,0.06655549257993698,0.04152192920446396,0.04185222461819649,0.23839694261550903,8.156894111023616,8.11975736377955
salt_pepper,4,0.2847699522972107,0.46611353754997253,0.2919480800628662,0.3502810597419739,0.40690547227859497,0.008456584066152573,0.015142690390348434,0.009193776175379753,0.007605684921145439,0.13130176067352295,5.123631380461879,5.0936673529774295
motion_blur,0,0.40805357694625854,0.5760100483894348,0.46777161955833435,0.4573783278465271,0.49853429198265076,0.2607952952384949,0.41472023725509644,0.28795987367630005,0.2920912206172943,0.4858258366584778,21.134155132099508,21.31939791225436
motion_blur,1,0.40288469195365906,0.5861870646476746,0.4439859092235565,0.4488788843154907,0.4859713912010193,0.16389349102973938,0.26175904273986816,0.179606094956398,0.1887412816286087,0.4736860692501068,18.136416526989212,18.38824103962678
motion_blur,2,0.39682674407958984,0.5863953232765198,0.4530739486217499,0.4423564672470093,0.46341845393180847,0.09259922057390213,0.15020324289798737,0.10804907977581024,0.105156809091568,0.4426620900630951,16.092038450707918,16.384470728728324
motion_blur,3,0.3908011317253113,0.590472400188446,0.47088780999183655,0.4330250024795532,0.44594934582710266,0.04411682114005089,0.07454583793878555,0.04844387248158455,0.05465105548501015,0.41864028573036194,14.95469797395502,15.249522909397308
motion_blur,4,0.3322979807853699,0.5114515423774719,0.43536993861198425,0.3741167485713959,0.4241500794887543,0.023466093465685844,0.04386568069458008,0.021954527124762535,0.03031250089406967,0.3692370355129242,13.778510214753284,14.055592869017495
jpeg_compression,0,0.4064922034740448,0.5857658982276917,0.46367186307907104,0.449040025472641,0.5016199350357056,0.32211506366729736,0.49776771664619446,0.35711464285850525,0.35069912672042847,0.4863843321800232,22.091524772225902,21.95384469722942
jpeg_compression,1,0.4129088819026947,0.6043580174446106,0.4614679217338562,0.4599442183971405,0.4963759779930115,0.3309566378593445,0.5019724369049072,0.3928155303001404,0.35920578241348267,0.4815691411495209,21.368926786080408,21.24104308932888
jpeg_compression,2,0.41995182633399963,0.6151780486106873,0.4572228193283081,0.46743208169937134,0.4931873381137848,0.335424542427063,0.5168716907501221,0.3873630464076996,0.3728680908679962,0.4717164933681488,20.908527041013297,20.771269817312213
jpeg_compression,3,0.36721110343933105,0.5469833612442017,0.43997254967689514,0.4189360737800598,0.48561301827430725,0.2448214441537857,0.3702892065048218,0.2539975047111511,0.28260156512260437,0.4408982992172241,20.00707949316861,19.8585744418167
jpeg_compression,4,0.3715142607688904,0.6065440773963928,0.4117470383644104,0.42248308658599854,0.47629663348197937,0.21330046653747559,0.3266525864601135,0.2525513470172882,0.2417551726102829,0.3412352502346039,18.7228918649159,18.55833269797044
