distortion,level,match_accuracy,good_match_ratio,epe,fl_error,map,map_50,map_75,mar_100,mean_iou
salt_pepper,0,0.9698525175501841,0.54555,29.278834414482116,0.5874130742817967,0.25169092416763306,0.3848666250705719,0.2876667082309723,0.3030899465084076,0.3345441520214081
salt_pepper,1,0.9693233382897011,0.54145,29.268767484029134,0.5873312333979458,0.25306710600852966,0.3752700686454773,0.2960081100463867,0.30583712458610535,0.33264198899269104
salt_pepper,2,0.9685334675295383,0.53925,29.276893436908722,0.5874906175083534,0.2606034278869629,0.40096402168273926,0.294424831867218,0.31872037053108215,0.33586007356643677
salt_pepper,3,0.9666459363254047,0.5381,29.212223720550536,0.5872685947067612,0.25591951608657837,0.39115110039711,0.29148635268211365,0.3071414828300476,0.3341435194015503
salt_pepper,4,0.9596900798152855,0.50525,29.230475068092346,0.5878198080278434,0.23939965665340424,0.37837687134742737,0.2741810977458954,0.2935674488544464,0.33040186762809753
motion_blur,0,0.9373872275574072,0.7563000000000001,29.055546446641287,0.5703166228316002,0.2854626178741455,0.4582065939903259,0.3006458282470703,0.33790600299835205,0.3973122239112854
motion_blur,1,0.9258447150805871,0.6855,29.061869712670646,0.5746407499366545,0.23479601740837097,0.3646436333656311,0.26734229922294617,0.27824273705482483,0.3642019033432007
motion_blur,2,0.9127304946458489,0.5660999999999999,29.166530307133993,0.5812512807776555,0.19556622207164764,0.2916439175605774,0.22978122532367706,0.2375400811433792,0.32645684480667114
motion_blur,3,0.8941522112485389,0.4769500000000001,29.25065090258916,0.5867586342830988,0.1652824431657791,0.2631552815437317,0.20021432638168335,0.18403425812721252,0.2957131862640381
motion_blur,4,0.8564407570620262,0.33365000000000006,29.615572849909466,0.5989680258303546,0.10978097468614578,0.18231916427612305,0.12380295991897583,0.13530923426151276,0.27348095178604126
jpeg_compression,0,0.9964156273954894,0.8915500000000002,28.919322780768077,0.5699685077999562,0.27838754653930664,0.42618897557258606,0.30765941739082336,0.3257315456867218,0.3744930624961853
jpeg_compression,1,0.9964677914581284,0.8779499999999999,28.933150655031206,0.5703323662684274,0.2759699821472168,0.43970486521720886,0.3310554027557373,0.3172200322151184,0.36849600076675415
jpeg_compression,2,0.9959938979933296,0.8628499999999999,28.8994556983312,0.571508291187005,0.26623299717903137,0.4303140640258789,0.3136952519416809,0.31770071387290955,0.35527077317237854
jpeg_compression,3,0.9936108309860663,0.8313499999999999,29.013051847616833,0.5763148233768743,0.2261514663696289,0.36109068989753723,0.25935596227645874,0.27553272247314453,0.31550338864326477
jpeg_compression,4,0.9885889304028563,0.7505499999999999,29.03835815191269,0.5859734960021543,0.16721762716770172,0.2573011517524719,0.1954435110092163,0.20894858241081238,0.23718588054180145
