distortion,level,orb_snr_db,flow_snr_db,detection_snr_db,segmentation_snr_db,match_accuracy,good_match_ratio,epe,fl_error,map,map_50,map_75,mar_100,mean_iou
salt_pepper,0,18.103472837520055,18.10388648330108,18.101000078029188,18.063212057511496,0.986814143692253,0.62435,27.535070411364238,0.5317135988265868,0.20587173104286194,0.3524262309074402,0.22158795595169067,0.24971510469913483,0.366901159286499
salt_pepper,1,13.371464278484577,13.377802313049473,13.383441944398474,13.345481460780366,0.9720563131605531,0.4968,27.177677539984384,0.5264307935304339,0.1360446959733963,0.2554703950881958,0.1600072681903839,0.15881337225437164,0.2840516269207001
salt_pepper,2,11.175121215802054,11.180127823358907,11.177519369532263,11.14339701723685,0.9647349443459288,0.4394,27.236814643939336,0.5324713437763905,0.06753550469875336,0.12254420667886734,0.06409615278244019,0.07758108526468277,0.26479965448379517
salt_pepper,3,8.150840785386874,8.156662892298202,8.156894111023616,8.11975736377955,0.9427785962744775,0.3511,27.465161637465158,0.550699452376744,0.03019658289849758,0.05551393702626228,0.02657235413789749,0.03246568143367767,0.20615582168102264
salt_pepper,4,5.120299138620322,5.131436124932246,5.123631380461879,5.0936673529774295,0.8891054460790198,0.2424,28.226102650165558,0.5782061297584856,0.0061527579091489315,0.009900989942252636,0.008486563339829445,0.004906158894300461,0.12073355913162231
motion_blur,0,21.43564057125989,21.31603795515158,21.134155132099508,21.319397912254356,0.9833299939344021,0.7013,28.81597798069318,0.5662455624590509,0.24943919479846954,0.3805823028087616,0.2663642466068268,0.29186707735061646,0.38703641295433044
motion_blur,1,18.41074203756509,18.3863971490594,18.136416526989215,18.38824103962678,0.9342460940925104,0.42894999999999994,28.946348337332406,0.5811024390931301,0.14081601798534393,0.2189864069223404,0.17420275509357452,0.16479440033435822,0.3666502833366394
motion_blur,2,16.328291296285734,16.395153780267936,16.092038450707918,16.384470728728324,0.6961706144966857,0.2061,29.036451319853466,0.6162346173453043,0.09461580216884613,0.15856872498989105,0.09056563675403595,0.10568351298570633,0.3403749465942383
motion_blur,3,15.179931878588793,15.273736770124627,14.95469797395502,15.249522909397308,0.5141604236783814,0.1101,29.0160767753919,0.6473066369391264,0.05628573149442673,0.09645942598581314,0.045099589973688126,0.06529812514781952,0.3133661448955536
motion_blur,4,14.004426408862694,14.085728015680385,13.778510214753284,14.055592869017497,0.3229069625520737,0.051050000000000005,29.035952258110047,0.7007742340204278,0.02492210641503334,0.04595539718866348,0.024910885840654373,0.03040178492665291,0.27394649386405945
jpeg_compression,0,22.457865780686305,21.95034638387319,22.091524772225902,21.95384469722942,0.9983304013095964,0.92845,28.615089482069017,0.5578352641656023,0.2740621268749237,0.4571789503097534,0.2883085310459137,0.3124218285083771,0.3721977770328522
jpeg_compression,1,21.747153193621244,21.23524299086271,21.368926786080408,21.24104308932888,0.9970691124641615,0.9038500000000003,28.6269323348999,0.5588115592606899,0.25938183069229126,0.4199746251106262,0.3093268573284149,0.2941386103630066,0.36762064695358276
jpeg_compression,2,21.276379633076893,20.768335638813753,20.908527041013297,20.771269817312213,0.9969943490132174,0.88275,28.59879721800486,0.5607091991189742,0.27791082859039307,0.4525279998779297,0.33699724078178406,0.33105751872062683,0.35907047986984253
jpeg_compression,3,20.343677099743992,19.861086155407907,20.007079493168614,19.8585744418167,0.9931637822972019,0.8338999999999999,28.777348677317303,0.568520961147242,0.20930930972099304,0.3390987813472748,0.2301827222108841,0.25617313385009766,0.3011876046657562
jpeg_compression,4,19.008870206848943,18.561861530931242,18.7228918649159,18.55833269797044,0.9888164231565886,0.744,28.824723954995473,0.5794580317338425,0.16510295867919922,0.24302366375923157,0.1902015209197998,0.20231400430202484,0.23624849319458008
